group,year,value
0,2000,20
0,2001,21
0,2002,14
0,2003,18
0,2004,17
0,2005,25
0,2006,15
0,2007,26
0,2008,25
0,2009,25
0,2010,28
0,2011,25
0,2012,56
0,2013,0
1,2000,0
1,2001,65
1,2002,58
1,2003,77
1,2004,85
1,2005,169
1,2006,88
1,2007,160
1,2008,110
1,2009,123
1,2010,94
1,2011,99
1,2012,285
1,2013,74
2,2000,0
2,2001,0
2,2002,0
2,2003,0
2,2004,8
2,2005,48
2,2006,12
2,2007,35
2,2008,6
2,2009,21
2,2010,31
2,2011,35
2,2012,317
2,2013,94
3,2000,0
3,2001,0
3,2002,0
3,2003,0
3,2004,3
3,2005,1
3,2006,0
3,2007,5
3,2008,1
3,2009,1
3,2010,1
3,2011,1
3,2012,5
3,2013,0
4,2000,0
4,2001,0
4,2002,0
4,2003,9
4,2004,79
4,2005,28
4,2006,1
4,2007,35
4,2008,5
4,2009,2
4,2010,14
4,2011,7
4,2012,47
4,2013,10
5,2000,0
5,2001,0
5,2002,0
5,2003,0
5,2004,65
5,2005,38
5,2006,25
5,2007,131
5,2008,12
5,2009,1
5,2010,9
5,2011,9
5,2012,51
5,2013,0
